link,name,salary
https://www.superjob.ru//vakansii/voditel-samosvala-38524023.html,Водитель самосвала (Вахта),no data salary
https://www.superjob.ru//vakansii/voditel-na-lichnom-avtomobile-38690663.html,Водитель на личном автомобиле,95000118000
https://www.superjob.ru//vakansii/voditel-avtomobilya-iveco-38431382.html,Водитель автомобиля IVECO (сезон),140000
no data link,no data name,no data salary
https://www.superjob.ru//vakansii/voditel-taksi-34458132.html,Водитель такси,90000
https://www.superjob.ru//vakansii/voditel-taksi-38896046.html,Водитель такси,7000
https://www.superjob.ru/https://t.me/SuperJobRu_Bot,В Telegram,no data salary
https://www.superjob.ru//vakansii/voditel-kategorii-v-32458843.html,"Водитель категории В, С (автомобиль компании)",no data salary
no data link,no data name,no data salary
https://www.superjob.ru//vakansii/voditel-na-arendu-yandeks-38972376.html,Водитель на аренду Яндекс.Go,no data salary
https://www.superjob.ru//vakansii/voditel-karernogo-samosvala-37968901.html,Водитель карьерного самосвала,no data salary
https://www.superjob.ru//uslugi-promo/,,no data salary
https://www.superjob.ru//vakansii/voditel-s-lichnym-avtomobilem-35724867.html,Водитель с личным автомобилем,65000
no data link,no data name,no data salary
https://www.superjob.ru//vakansii/voditel-kategorii-v-38837029.html,Водитель категории В,85000
https://www.superjob.ru//vakansii/specialist-sluzhby-podderzhki-voditelej-v-yandeks-38970791.html,Специалист службы поддержки водителей в Яндекс.Драйв,no data salary
https://www.superjob.ru//vakansii/voditel-taksi-38849333.html,Водитель такси,6000070000
no data link,no data name,no data salary
https://www.superjob.ru//vakansii/voditel-betonomeshalki-tza-38409126.html,Водитель бетономешалки TZA / KAMAZ (г. Свободный),120000
https://www.superjob.ru//vakansii/voditel-dizelnogo-pogruzchika-36664960.html,Водитель дизельного погрузчика,no data salary
https://www.superjob.ru//vakansii/voditel-yandeks-38495114.html,Водитель Яндекс.Такси,101000
https://www.superjob.ru//vakansii/voditel-sortimentovoz-38962200.html,"Водитель сортиментовоз (фискарист) кат В, С",140000
https://www.superjob.ru//vakansii/voditel-v-38746671.html,"Водитель В, С, D, E",100000
https://www.superjob.ru//vakansii/torgovyj-predstavitel-38569123.html,Торговый представитель / Водитель-курьер (г. Архангельск),50000
no data link,no data name,no data salary
https://www.superjob.ru//vakansii/voditel-pogruzchika-38871709.html,Водитель погрузчика,6500080000
https://www.superjob.ru//vakansii/kurer-voditel-na-gruzovom-avtomobile-37617986.html,Курьер-водитель на грузовом автомобиле,100000
